application_id,application_date,intake_intake_channel,intake_new_customer,intake_lender_segment,intake_region,intake_sector,intake_business_age_years,intake_annual_revenue_gbp,intake_requested_loan_gbp,intake_requested_term_months,intake_loan_purpose,intake_personal_guarantee,intake_collateral_type,intake_bureau_score,intake_ccj_count,intake_default_history,intake_kyc_pass,intake_aml_risk,intake_pep_hit,intake_sanctions_hit,intake_doc_completeness,enrich_dscr,enrich_leverage_ratio,enrich_cashflow_volatility,enrich_ltv,enrich_risk_score,enrich_triage_priority,expected_decision,reason_primary,reason_secondary,reason_tertiary
APP202600677,2025-08-17,Broker CSV,True,Non-Bank/Public Financier,North West,Transportation & Storage,5.31,100000.0,27094.82,24,Asset Purchase,True,Invoice Book,55.66,0,False,True,Medium,False,False,0.78,0.67,2.17,0.27,0.82,48.79146667,2,Decline,AFFORDABILITY_FAIL,,
APP202600818,2025-06-11,Email CSV,True,Non-Bank/Public Financier,Northern Ireland,Agriculture,4.31,165991.48,121787.62,48,Working Capital,True,None,47.53,0,False,True,Low,False,False,0.28,0.48,3.12,0.08,,40.0284,3,Decline,AFFORDABILITY_FAIL,COLLATERAL_WEAK,
APP202600684,2025-05-27,Broker CSV,True,Mid-Tier/Challenger Bank,London,Transportation & Storage,14.57,329834.91,35152.51,24,Growth/Expansion,False,Property,70.42,0,False,True,High,False,False,0.86,3.4,1.13,0.37,0.297,78.01093333,1,Accept,,,
APP202600334,2025-07-18,Email CSV,False,Alt Lender (Non-ML),Northern Ireland,Hospitality,3.23,100000.0,99257.88,24,Working Capital,False,Property,48.33,0,False,True,Low,False,False,0.68,0.27,1.85,0.26,0.45,50.41573333,2,Accept,,,
APP202600893,2025-08-15,Email CSV,True,Mid-Tier/Challenger Bank,West Midlands,Construction,19.79,1521091.08,396893.89,18,Equipment Lease Buyout,False,Invoice Book,71.11,0,False,True,Low,False,False,0.49,1.88,0.95,0.29,0.685,66.52413333,3,Accept,,,
APP202600487,2025-07-11,Email CSV,True,Non-Bank/Public Financier,South West,Health & Social Care,6.62,835041.1,61022.69,48,Inventory,False,Equipment,69.66,1,True,True,Low,False,False,0.41,2.45,3.26,0.19,0.576,63.08813333,3,Accept,,,
APP202600582,2025-04-20,Broker CSV,True,Mid-Tier/Challenger Bank,East Midlands,Real Estate,5.5,100000.0,25000.0,48,Asset Purchase,False,None,69.3,0,False,True,Low,False,False,0.55,0.76,1.18,0.18,,55.21066667,2,Decline,AFFORDABILITY_FAIL,COLLATERAL_WEAK,
APP202600631,2025-05-25,Web,True,Alt Lender (Non-ML),Wales,Wholesale,5.17,183558.24,189369.34,36,Growth/Expansion,False,Property,63.95,0,False,True,Low,False,False,0.59,0.24,2.89,0.26,0.314,49.82266667,2,Review,REVIEW_DOCS,,
APP202600087,2025-07-02,Portal Upload,True,Mid-Tier/Challenger Bank,South West,Information & Communication,6.96,297592.05,162778.14,24,Asset Purchase,False,Mixed,77.21,0,False,True,Low,False,False,0.87,0.47,2.21,0.22,0.629,58.17213333,1,Accept,,,
APP202600260,2025-04-27,Broker CSV,True,Mid-Tier/Challenger Bank,East of England,Transportation & Storage,4.11,143242.41,25000.0,48,Working Capital,False,None,88.24,0,False,True,Medium,False,False,0.58,2.8,0.22,0.44,,78.09386667,2,Accept,,,
APP202600263,2025-07-27,Web,True,Mid-Tier/Challenger Bank,North East,Professional Services,35.25,242201.08,89553.09,12,Growth/Expansion,False,None,54.23,0,False,True,Medium,False,False,0.73,0.59,3.62,0.49,,40.62773333,2,Decline,AFFORDABILITY_FAIL,COLLATERAL_WEAK,
APP202600906,2025-08-17,Broker CSV,True,Non-Bank/Public Financier,Wales,Retail,1.39,100000.0,85141.08,24,Marketing,True,Property,65.06,0,False,True,Low,False,False,0.84,0.61,1.25,0.54,0.445,59.06013333,1,Accept,,,
APP202600705,2025-08-18,Web,False,Mid-Tier/Challenger Bank,East of England,Transportation & Storage,3.91,1483303.63,185097.57,48,Equipment Lease Buyout,True,None,74.54,0,False,True,Low,False,False,0.53,2.19,3.2,0.33,,65.99453333,2,Accept,,,
APP202600726,2025-07-05,Web,True,Non-Bank/Public Financier,London,Health & Social Care,7.12,100000.0,25000.0,36,Growth/Expansion,False,Equipment,57.9,0,True,True,Low,False,False,0.64,1.73,2.75,0.44,0.608,56.74533333,2,Accept,,,
APP202600173,2025-08-08,Portal Upload,False,Alt Lender (Non-ML),London,Professional Services,6.43,150653.57,78372.09,18,Marketing,True,Equipment,62.34,1,False,True,Low,False,False,0.82,0.55,2.34,0.32,0.61,54.2452,1,Accept,,,
APP202600289,2025-05-02,Portal Upload,True,Mid-Tier/Challenger Bank,Yorkshire & Humber,Manufacturing,3.69,100000.0,43913.79,24,Growth/Expansion,False,Debenture,66.54,1,False,True,Low,False,False,0.92,0.74,0.23,0.08,0.572,63.71453333,1,Accept,,,
APP202600221,2025-08-11,Broker CSV,True,Alt Lender (Non-ML),London,Transportation & Storage,21.84,791770.57,25000.0,36,Working Capital,False,Property,61.02,0,False,True,Low,False,False,0.36,3.5,1.97,0.42,0.316,69.22893333,3,Accept,,,
APP202600496,2025-07-21,Web,True,Alt Lender (Non-ML),Yorkshire & Humber,Health & Social Care,17.36,100000.0,164088.85,24,Refinance,True,Mixed,61.35,0,False,True,Low,False,False,0.55,0.2,3.38,0.17,0.446,49.63133333,2,Review,REVIEW_DOCS,,
APP202600236,2025-05-04,Broker CSV,False,Mid-Tier/Challenger Bank,North West,Health & Social Care,11.73,180165.62,59299.92,18,Equipment Lease Buyout,False,Property,71.83,0,False,True,Low,False,False,0.24,0.64,0.0,0.16,0.614,54.8124,3,Review,REVIEW_DOCS,,
APP202600268,2025-07-02,Broker CSV,True,Alt Lender (Non-ML),West Midlands,Transportation & Storage,6.83,100000.0,31726.0,36,Equipment Lease Buyout,False,Property,48.61,0,False,False,Low,False,False,0.89,0.72,2.49,0.2,0.507,53.5508,1,Decline,KYC_FAIL,,
APP202600741,2025-07-06,Portal Upload,True,Alt Lender (Non-ML),London,Construction,14.84,396447.11,28517.67,24,Growth/Expansion,False,Property,47.85,0,False,True,Low,False,False,0.78,3.5,3.7,0.06,0.601,69.45466667,2,Accept,,,
APP202600874,2025-06-01,Web,True,Mid-Tier/Challenger Bank,North West,Manufacturing,6.24,925977.92,282191.5,24,Refinance,True,Mixed,58.51,1,False,True,Medium,False,False,0.57,0.91,2.03,0.09,0.364,55.61613333,2,Review,REVIEW_COMPLIANCE,REVIEW_DOCS,REVIEW_AFFORDABILITY
APP202600004,2025-06-12,Broker CSV,False,Mid-Tier/Challenger Bank,East of England,Construction,32.71,258449.74,53492.95,24,Asset Purchase,False,Debenture,65.69,0,False,True,Low,False,False,0.78,1.37,1.45,0.46,0.738,61.89986667,2,Accept,,,
APP202600938,2025-05-13,Email CSV,False,Mid-Tier/Challenger Bank,South East,Construction,13.18,134197.4,264248.68,60,Working Capital,True,Equipment,83.7,0,False,True,Low,False,False,0.62,0.35,2.5,0.38,0.901,54.99266667,2,Decline,AFFORDABILITY_FAIL,COLLATERAL_WEAK,
APP202600280,2025-04-23,Email CSV,True,Non-Bank/Public Financier,North East,Real Estate,3.32,634843.36,59479.31,36,Hire Staff,False,Debenture,34.49,0,False,True,Low,False,False,0.61,2.16,2.89,0.44,0.682,57.55386667,2,Review,REVIEW_CONFLICT,,
APP202600656,2025-07-18,Broker CSV,True,Alt Lender (Non-ML),Wales,Construction,2.06,100000.0,78684.43,24,Working Capital,True,Debenture,70.61,0,False,True,Medium,False,False,0.7,0.2,1.5,0.34,0.691,52.4608,2,Review,REVIEW_COMPLIANCE,,
APP202600644,2025-08-01,Portal Upload,True,Mid-Tier/Challenger Bank,North East,Real Estate,6.01,100000.0,116660.98,60,Working Capital,True,Debenture,57.05,0,False,True,Medium,False,False,0.59,0.23,2.42,0.07,0.614,48.88733333,2,Review,REVIEW_COMPLIANCE,REVIEW_DOCS,
APP202600344,2025-04-18,Broker CSV,False,Non-Bank/Public Financier,East of England,Transportation & Storage,5.97,100000.0,39721.78,48,Marketing,False,Property,86.09,0,False,True,Low,False,False,0.78,0.47,1.22,0.43,0.307,63.18853333,2,Accept,,,
APP202600890,2025-06-25,Web,False,Alt Lender (Non-ML),South East,Wholesale,3.01,685249.87,41549.52,24,Marketing,True,Property,72.63,1,False,True,Low,False,False,0.73,3.42,0.96,0.34,0.289,83.9064,2,Accept,,,
APP202600200,2025-07-17,Email CSV,False,Mid-Tier/Challenger Bank,Wales,Transportation & Storage,11.03,631073.53,111487.11,18,Growth/Expansion,True,Property,79.78,0,False,True,Low,False,False,0.86,1.78,2.29,0.21,0.55,76.07506667,1,Accept,,,
APP202600711,2025-08-13,Portal Upload,True,Alt Lender (Non-ML),South West,Transportation & Storage,9.95,100000.0,74689.86,48,Marketing,True,Mixed,48.21,1,False,True,Low,False,False,0.75,0.7,1.34,0.37,0.336,55.81213333,2,Accept,,,
APP202600894,2025-07-07,Broker CSV,False,Mid-Tier/Challenger Bank,Scotland,Transportation & Storage,5.26,100000.0,84630.8,18,Inventory,False,Mixed,71.28,0,False,True,Low,False,False,0.73,0.2,1.95,0.27,0.357,57.9384,2,Accept,,,
APP202600342,2025-06-10,Email CSV,True,Non-Bank/Public Financier,London,Manufacturing,3.43,100000.0,112396.7,60,Growth/Expansion,True,None,55.42,0,False,True,Low,False,False,0.6,0.24,2.88,0.29,,46.8976,2,Decline,AFFORDABILITY_FAIL,COLLATERAL_WEAK,
APP202600292,2025-07-02,Web,False,Non-Bank/Public Financier,West Midlands,Information & Communication,10.06,168138.96,161880.21,36,Marketing,True,None,70.56,0,False,True,Low,False,False,0.54,0.43,2.63,0.45,,46.52013333,2,Decline,AFFORDABILITY_FAIL,COLLATERAL_WEAK,
APP202600111,2025-05-20,Portal Upload,True,Non-Bank/Public Financier,Yorkshire & Humber,Construction,5.31,147372.91,40221.7,48,Refinance,True,Equipment,43.65,0,True,True,Low,False,False,0.58,1.01,0.69,0.36,0.712,48.302,2,Review,REVIEW_DOCS,REVIEW_AFFORDABILITY,REVIEW_SECURITY
APP202600601,2025-08-18,Portal Upload,False,Mid-Tier/Challenger Bank,North East,Retail,7.36,487670.85,72008.78,60,Inventory,False,Property,59.29,0,False,True,Medium,False,False,0.59,1.55,0.39,0.32,0.421,62.7312,2,Accept,,,
APP202600048,2025-08-15,Broker CSV,False,Mid-Tier/Challenger Bank,Wales,Manufacturing,40.0,238433.22,98437.39,60,Refinance,False,Property,67.79,0,False,True,Low,False,False,0.68,0.6,1.73,0.12,0.404,59.10453333,2,Accept,,,
APP202600593,2025-07-13,Broker CSV,True,Mid-Tier/Challenger Bank,West Midlands,Construction,9.15,1164283.25,217772.49,48,Marketing,True,Property,61.41,0,False,True,Low,False,False,0.73,1.12,1.84,0.67,0.403,60.29146667,2,Accept,,,
APP202600669,2025-07-27,Broker CSV,True,Alt Lender (Non-ML),Northern Ireland,Construction,12.89,297725.7,32987.68,24,Marketing,True,Debenture,42.2,0,False,True,Low,False,False,0.8,1.56,3.89,0.22,0.527,58.92933333,2,Review,REVIEW_CONFLICT,,
APP202600889,2025-05-23,Web,False,Alt Lender (Non-ML),Wales,Retail,7.9,187538.09,172278.38,48,Marketing,False,Mixed,54.54,0,False,True,Low,False,False,0.56,0.27,1.77,0.29,0.518,47.1612,2,Review,REVIEW_DOCS,,
APP202600779,2025-07-09,Email CSV,True,Alt Lender (Non-ML),North East,Real Estate,2.46,100000.0,104049.77,48,Asset Purchase,True,Property,69.9,0,False,True,Low,False,False,0.56,0.5,2.84,0.1,0.33,55.24533333,2,Review,REVIEW_DOCS,,
APP202600908,2025-05-24,Broker CSV,True,Mid-Tier/Challenger Bank,Northern Ireland,Wholesale,1.79,363065.83,55179.48,48,Inventory,True,Property,82.48,0,False,True,Low,False,False,0.9,1.63,2.25,0.24,0.364,77.2344,1,Accept,,,
APP202600910,2025-08-22,Web,False,Alt Lender (Non-ML),London,Information & Communication,12.97,100000.0,51276.17,36,Inventory,False,Equipment,50.58,0,False,True,Low,False,False,0.29,0.33,2.47,0.27,0.556,41.53906667,3,Review,REVIEW_DOCS,,
APP202600044,2025-07-25,Portal Upload,True,Alt Lender (Non-ML),Northern Ireland,Wholesale,15.2,221233.03,72373.45,18,Marketing,True,Property,49.13,0,False,True,Low,False,False,0.59,0.54,3.19,0.15,0.533,46.82306667,2,Review,REVIEW_DOCS,,
APP202600743,2025-07-13,Web,True,Mid-Tier/Challenger Bank,East of England,Real Estate,10.76,100000.0,255562.7,36,Refinance,True,Debenture,65.0,0,False,True,Medium,False,False,0.29,0.2,2.96,0.2,0.832,43.37333333,3,Decline,AFFORDABILITY_FAIL,,
APP202600279,2025-07-12,Email CSV,True,Non-Bank/Public Financier,North West,Hospitality,2.61,130946.14,50423.45,12,Marketing,False,None,54.05,0,False,True,Low,False,False,0.31,1.02,1.79,0.45,,47.27733333,3,Review,REVIEW_DOCS,REVIEW_AFFORDABILITY,REVIEW_SECURITY
APP202600698,2025-04-18,Web,True,Mid-Tier/Challenger Bank,South East,Construction,5.4,100000.0,63164.23,36,Refinance,False,Property,54.04,0,False,True,Medium,False,False,0.8,0.38,0.65,0.03,0.551,52.80453333,2,Review,REVIEW_COMPLIANCE,,
APP202600985,2025-04-04,Web,True,Alt Lender (Non-ML),South West,Real Estate,35.74,144406.6,34208.71,36,Equipment Lease Buyout,True,None,40.4,0,False,True,Low,False,False,0.69,1.43,3.61,0.08,,54.21866667,2,Review,REVIEW_CONFLICT,,
APP202600671,2025-07-13,Broker CSV,False,Non-Bank/Public Financier,South West,Hospitality,5.1,100000.0,186576.59,24,Equipment Lease Buyout,False,Property,72.47,1,False,True,Low,False,False,0.57,0.2,3.2,0.21,0.418,49.54493333,2,Review,REVIEW_DOCS,,
APP202600366,2025-08-19,Web,False,Non-Bank/Public Financier,Yorkshire & Humber,Information & Communication,2.35,147231.28,25000.0,48,Hire Staff,True,None,44.62,1,False,True,Low,False,False,0.57,1.13,2.08,0.33,,47.77026667,2,Review,REVIEW_DOCS,REVIEW_SECURITY,
APP202600665,2025-04-26,Web,True,Mid-Tier/Challenger Bank,South East,Professional Services,3.39,159660.45,25000.0,36,Growth/Expansion,True,Property,90.2,0,False,True,Low,False,False,0.74,1.86,1.51,0.23,0.294,82.85266667,2,Accept,,,
APP202600133,2025-08-10,Portal Upload,True,Non-Bank/Public Financier,North East,Hospitality,3.96,1147751.53,41796.98,48,Growth/Expansion,False,None,74.09,0,False,True,Low,False,False,0.65,3.5,1.45,0.36,,77.26186667,2,Accept,,,
APP202600270,2025-04-10,Broker CSV,True,Mid-Tier/Challenger Bank,Northern Ireland,Wholesale,11.78,412549.15,25000.0,12,Inventory,False,Debenture,67.75,1,True,True,Low,False,False,0.36,3.5,1.83,0.55,0.639,61.71,3,Accept,,,
APP202600406,2025-04-28,Web,True,Non-Bank/Public Financier,North West,Health & Social Care,4.47,100000.0,121484.86,36,Growth/Expansion,True,Invoice Book,44.31,0,False,True,High,False,False,0.65,0.2,1.74,0.35,0.649,44.3568,2,Review,REVIEW_COMPLIANCE,,
APP202600975,2025-07-10,Portal Upload,True,Alt Lender (Non-ML),Wales,Hospitality,2.37,199170.22,25000.0,36,Refinance,True,None,50.86,0,False,True,Low,False,False,0.65,1.28,2.38,0.66,,52.16746667,2,Accept,,,
APP202600683,2025-07-20,Portal Upload,False,Alt Lender (Non-ML),North East,Professional Services,11.28,172231.89,45157.69,36,Inventory,False,Property,55.83,0,False,True,Low,False,False,0.47,1.0,2.72,0.14,0.476,51.82573333,3,Review,REVIEW_DOCS,REVIEW_AFFORDABILITY,
APP202600298,2025-07-29,Email CSV,False,Mid-Tier/Challenger Bank,South East,Retail,6.49,368850.05,156048.47,48,Equipment Lease Buyout,True,Property,72.76,0,False,True,Low,False,False,0.53,0.63,0.0,0.36,0.309,61.4128,2,Accept,,,
APP202600102,2025-06-24,Email CSV,True,Alt Lender (Non-ML),Scotland,Agriculture,4.69,194520.18,71961.16,24,Growth/Expansion,False,Invoice Book,71.23,0,False,True,Medium,False,False,0.55,0.61,1.49,0.41,0.641,49.66773333,2,Review,REVIEW_COMPLIANCE,REVIEW_DOCS,
APP202600717,2025-07-18,Portal Upload,False,Mid-Tier/Challenger Bank,East Midlands,Health & Social Care,3.37,150862.05,226081.63,36,Working Capital,False,Debenture,59.29,1,False,True,Low,False,False,0.87,0.27,2.0,0.41,0.582,51.01453333,1,Accept,,,
APP202600514,2025-07-25,Email CSV,True,Mid-Tier/Challenger Bank,South East,Retail,2.0,112953.03,240430.49,36,Marketing,True,Invoice Book,60.22,0,False,True,Low,False,False,0.97,0.2,3.81,0.23,0.661,52.7616,1,Accept,,,
APP202600151,2025-08-21,Portal Upload,True,Alt Lender (Non-ML),West Midlands,Retail,3.44,1173173.55,29916.25,24,Working Capital,False,None,72.17,0,False,True,Low,False,False,0.75,3.5,2.18,0.13,,78.32093333,2,Accept,,,
